id_dia,DescripcionDia,id_horario,fecha,hora_inicio,hora_fin
7221,Viernes,1,2044-02-19,08:30:00,18:00:00
7222,Sabado,2,2044-02-20,08:30:00,13:00:00
7223,Domingo,2,2044-02-21,08:30:00,13:00:00
7224,Lunes,1,2044-02-22,08:30:00,18:00:00
7225,Martes,1,2044-02-23,08:30:00,18:00:00
7226,Miercoles,1,2044-02-24,08:30:00,18:00:00
7227,Jueves,1,2044-02-25,08:30:00,18:00:00
7228,Viernes,1,2044-02-26,08:30:00,18:00:00
7229,Sabado,2,2044-02-27,08:30:00,13:00:00
7230,Domingo,2,2044-02-28,08:30:00,13:00:00
7231,Lunes,1,2044-02-29,08:30:00,18:00:00
7232,Martes,1,2044-03-01,08:30:00,18:00:00
7233,Miercoles,1,2044-03-02,08:30:00,18:00:00
7234,Jueves,1,2044-03-03,08:30:00,18:00:00
7235,Viernes,1,2044-03-04,08:30:00,18:00:00
7236,Sabado,2,2044-03-05,08:30:00,13:00:00
7237,Domingo,2,2044-03-06,08:30:00,13:00:00
7238,Lunes,1,2044-03-07,08:30:00,18:00:00
7239,Martes,1,2044-03-08,08:30:00,18:00:00
7240,Miercoles,1,2044-03-09,08:30:00,18:00:00
7241,Jueves,1,2044-03-10,08:30:00,18:00:00
7242,Viernes,1,2044-03-11,08:30:00,18:00:00
7243,Sabado,2,2044-03-12,08:30:00,13:00:00
7244,Domingo,2,2044-03-13,08:30:00,13:00:00
7245,Lunes,1,2044-03-14,08:30:00,18:00:00
7246,Martes,1,2044-03-15,08:30:00,18:00:00
7247,Miercoles,1,2044-03-16,08:30:00,18:00:00
7248,Jueves,1,2044-03-17,08:30:00,18:00:00
7249,Viernes,1,2044-03-18,08:30:00,18:00:00
7250,Sabado,2,2044-03-19,08:30:00,13:00:00
7251,Domingo,2,2044-03-20,08:30:00,13:00:00
7252,Lunes,1,2044-03-21,08:30:00,18:00:00
7253,Martes,1,2044-03-22,08:30:00,18:00:00
7254,Miercoles,1,2044-03-23,08:30:00,18:00:00
7255,Jueves,1,2044-03-24,08:30:00,18:00:00
7256,Viernes,1,2044-03-25,08:30:00,18:00:00
7257,Sabado,2,2044-03-26,08:30:00,13:00:00
7258,Domingo,2,2044-03-27,08:30:00,13:00:00
7259,Lunes,1,2044-03-28,08:30:00,18:00:00
7260,Martes,1,2044-03-29,08:30:00,18:00:00
7261,Miercoles,1,2044-03-30,08:30:00,18:00:00
7262,Jueves,1,2044-03-31,08:30:00,18:00:00
7263,Viernes,1,2044-04-01,08:30:00,18:00:00
7264,Sabado,2,2044-04-02,08:30:00,13:00:00
7265,Domingo,2,2044-04-03,08:30:00,13:00:00
7266,Lunes,1,2044-04-04,08:30:00,18:00:00
7267,Martes,1,2044-04-05,08:30:00,18:00:00
7268,Miercoles,1,2044-04-06,08:30:00,18:00:00
7269,Jueves,1,2044-04-07,08:30:00,18:00:00
7270,Viernes,1,2044-04-08,08:30:00,18:00:00
7271,Sabado,2,2044-04-09,08:30:00,13:00:00
7272,Domingo,2,2044-04-10,08:30:00,13:00:00
7273,Lunes,1,2044-04-11,08:30:00,18:00:00
7274,Martes,1,2044-04-12,08:30:00,18:00:00
7275,Miercoles,1,2044-04-13,08:30:00,18:00:00
7276,Jueves,1,2044-04-14,08:30:00,18:00:00
7277,Viernes,1,2044-04-15,08:30:00,18:00:00
7278,Sabado,2,2044-04-16,08:30:00,13:00:00
7279,Domingo,2,2044-04-17,08:30:00,13:00:00
7280,Lunes,1,2044-04-18,08:30:00,18:00:00
7281,Martes,1,2044-04-19,08:30:00,18:00:00
7282,Miercoles,1,2044-04-20,08:30:00,18:00:00
7283,Jueves,1,2044-04-21,08:30:00,18:00:00
7284,Viernes,1,2044-04-22,08:30:00,18:00:00
7285,Sabado,2,2044-04-23,08:30:00,13:00:00
7286,Domingo,2,2044-04-24,08:30:00,13:00:00
7287,Lunes,1,2044-04-25,08:30:00,18:00:00
7288,Martes,1,2044-04-26,08:30:00,18:00:00
7289,Miercoles,1,2044-04-27,08:30:00,18:00:00
7290,Jueves,1,2044-04-28,08:30:00,18:00:00
